Date,Headlines,Negative,Neutral,Positive,Actual Sentiment,Sentiment value
20/10/2015,Paramount to shoot Battle for Alcatraz movie about 1946 escape attempt,0.054540075,0.91561425,0.029845707,Neutral,0.91561425
20/10/2015,Netflix and film studios face lawsuit over song captioning for deaf,0.60552925,0.38140374,0.013067042,Negative,0.60552925
15/12/2015,Paramount and Hasbro uniting GI Joe and other toys in new movie universe,0.004560907,0.6047374,0.39070168,Neutral,0.6047374
21/01/2016,Terminator sequel terminated,0.2765673,0.6830036,0.04042911,Neutral,0.6830036
27/01/2016,Little House on the Prairie movie back in development,0.003130004,0.7547145,0.24215546,Neutral,0.7547145
26/04/2016,Will 'Disneyland London' turn Kent into a Magic Kingdom? : Pass notes,0.021665499,0.83119816,0.14713636,Neutral,0.83119816
27/04/2016,Paramount sued by Chinese company for failed Transformers product placement,0.67629236,0.31505808,0.008649589,Negative,0.67629236
30/04/2016,Who owns Klingon? Lawsuit draws battle over invented languages into court,0.53641653,0.45317483,0.010408666,Negative,0.53641653
27/06/2016,Emma Stone and Alicia Vikander set for rival Agatha Christie biopics,0.038148604,0.9264644,0.035387024,Neutral,0.9264644
05/07/2016,Russo brothers bringing cult classic The Warriors to TV in upcoming adaptation,0.004325887,0.83048797,0.16518618,Neutral,0.83048797
01/08/2016,Sunset Boulevard: what Billy Wilder's satire really tells us about Hollywood : Silent but deadly!,0.56046176,0.40347776,0.036060523,Negative,0.56046176
19/08/2016,Anger in Hong Kong as Arrival poster shifts Shanghai landmark to city,0.7291121,0.25885648,0.012031461,Negative,0.7291121
21/03/2017,He won't be back: Schwarzenegger's Terminator franchise terminated,0.39371368,0.5764878,0.029798493,Neutral,0.5764878
22/03/2017,"Terminator franchise still alive, insists producer",0.031271726,0.7254234,0.2433049,Neutral,0.7254234
30/03/2017,Paramount looks to Disney model to recover after string of flops,0.16470753,0.7501301,0.08516242,Neutral,0.7501301
27/07/2017,A John Wick 'expanded universe' – Hollywood's most idiotic idea yet?,0.7351728,0.23730378,0.027523456,Negative,0.7351728
18/08/2017,Court orders Telstra and other internet service providers to block piracy sites,0.42688566,0.5573718,0.015742563,Neutral,0.5573718
07/09/2017,Bram Stoker's relative Dacre writes first authorised prequel to Dracula,0.060509138,0.89212626,0.047364563,Neutral,0.89212626
10/03/2018,Was Annihilation too brainy for the box office? : Guy Lodge's streaming and DVDs,0.36843058,0.59780115,0.03376823,Neutral,0.59780115
31/07/2018,Indecent Proposal: remake of hit thriller in the works,0.03254188,0.9323831,0.03507503,Neutral,0.9323831
04/08/2018,CBS boss brushes aside allegations he forcibly kissed women,0.5656559,0.42371333,0.010630748,Negative,0.5656559
27/06/2019,Theme park project signs Hollywood studio and troubleshooting CEO,0.080376275,0.8701557,0.049468018,Neutral,0.8701557
19/07/2019,Claws out for the Cats trailer – but Universal will be purring,0.018688252,0.75746316,0.22384863,Neutral,0.75746316
28/10/2019,"Robert Evans, celebrated Hollywood producer of Chinatown, dies aged 89",0.3258881,0.6144292,0.059682682,Neutral,0.6144292
24/07/2020,Blockbuster movies delayed again by new coronavirus spikes,0.76683563,0.22238001,0.010784392,Negative,0.76683563
03/02/2021,They came at night: how a Spanish-speaking cast shot an alternative Dracula after Bela Lugosi had gone to bed,0.15607785,0.8005275,0.043394633,Neutral,0.8005275
25/02/2021,Paramount to launch streaming service for new and old films,0.007974781,0.85245144,0.13957386,Neutral,0.85245144
31/08/2021,Mission Impossible studio Paramount sues insurers over Covid costs,0.27018708,0.6986977,0.0311152,Neutral,0.6986977
03/06/2022,"Adam Sandler, Julian Assange and The Boys: what’s new to streaming in Australia this June : Stream lover",0.015221733,0.7953445,0.18943372,Neutral,0.7953445
06/06/2022,Studio behind Tom Cruise blockbuster Top Gun: Maverick sued over copyright,0.2446301,0.70795554,0.047414325,Neutral,0.70795554
20/06/2022,Paramount: we won’t remove content from eras with ‘different sensibilities’,0.12548709,0.8228024,0.051710464,Neutral,0.8228024
22/06/2022,Halo review – fails to be TV’s first great video game adaptation : TV review,0.65975326,0.29638305,0.043863744,Negative,0.65975326
29/07/2022,"Honor Society review – a sharp, surprisingly dark high school comedy",0.014493467,0.46227717,0.52322936,Positive,0.52322936
31/07/2022,"A League of Their Own, The Bear and Game Night: what’s new to streaming in Australia this August : Stream lover",0.009975998,0.8461701,0.14385392,Neutral,0.8461701
05/08/2022,‘This sucks – again’: did anyone need the return of Beavis and Butt-Head?,0.8389348,0.13967596,0.021389328,Negative,0.8389348
04/10/2022,"Catherine Called Birdy, The Stranger and new White Lotus: what’s new to streaming in Australia this October : Stream lover",0.005240254,0.84080726,0.15395252,Neutral,0.84080726
05/10/2022,Undressed review – reality show for anyone who’s felt betrayed by their own clothes,0.79210603,0.19732757,0.01056645,Negative,0.79210603
05/10/2022,Frasier is back in the building: sequel series greenlit at Paramount+,0.002156812,0.68662477,0.31121847,Neutral,0.68662477
17/10/2022,UK homes cancel streaming services to reduce spending,0.46659783,0.5047684,0.028633757,Neutral,0.5047684
15/11/2022,Tulsa King review – Sylvester Stallone gets his first ever TV role! As a slow-moving 75-year-old gangster : TV review,0.027637677,0.82770073,0.14466159,Neutral,0.82770073
05/12/2022,"Knits, tinsel and A Christmas Karen: the best and worst new festive films",0.25422445,0.37070757,0.375068,Positive,0.375068
03/01/2023,Romeo and Juliet actors sue Paramount for child abuse in 1968 film,0.7014002,0.2896494,0.008950339,Negative,0.7014002
04/01/2023,The $500m Romeo and Juliet case opens a new frontier for #MeToo reckoning,0.036568116,0.7667818,0.1966501,Neutral,0.7667818
06/01/2023,Franco Zeffirelli’s son criticises Romeo and Juliet actors for nudity lawsuit,0.5334017,0.45416918,0.012429021,Negative,0.5334017
11/01/2023,Hollywood still has a power problem when it comes to filming intimate scenes,0.7881707,0.20371029,0.008119051,Negative,0.7881707
30/01/2023,UK homes cancelled 2m streaming services last year as cost of living soared,0.6717623,0.29961628,0.02862144,Negative,0.6717623
02/02/2023,"Broad City, Kindred and The 400 Blows: what’s new to streaming in Australia this February : Stream lover",0.007680349,0.7935482,0.19877137,Neutral,0.7935482
15/02/2023,Last King of the Cross review – true crime series too polished for its own good,0.7619831,0.21606106,0.021955809,Negative,0.7619831
05/03/2023,"Succession, Daisy Jones & The Six, and Weird Al: what’s new to streaming in Australia this March : Stream lover",0.005632074,0.7551935,0.23917452,Neutral,0.7551935
31/03/2023,"Aunty Donna, Robert Bresson and The Portable Door: what’s new to streaming in Australia this April : Stream lover",0.008554862,0.8225178,0.16892743,Neutral,0.8225178
14/04/2023,The biggest new moneymaking scheme for Hollywood stars? Doing nothing,0.6185645,0.33919328,0.042242236,Negative,0.6185645
02/05/2023,"Bridgerton, Muppets Mayhem and Ten Pound Poms: what’s new to streaming in Australia this May : Stream lover",0.012356803,0.8353998,0.15224339,Neutral,0.8353998
19/05/2023,The Guardian view on striking Hollywood writers: a fight for life,0.15434709,0.80328345,0.042369492,Neutral,0.80328345
02/06/2023,"The Idol, Black Mirror and Betoota: what’s new to streaming in Australia this June : Stream lover",0.012059843,0.8298797,0.15806043,Neutral,0.8298797
13/06/2023,‘Hidden’ Malibu beach will open to the public for the first time in 40 years,0.006580411,0.6356795,0.35774013,Neutral,0.6356795
29/06/2023,"Peter van Onselen at risk of using media ‘megaphone’ to disparage Network 10, court hears",0.6673297,0.32420036,0.008469872,Negative,0.6673297
30/06/2023,"The Bear, Futurama and Tár: what’s new to streaming in Australia this July : Stream lover",0.009579317,0.8237681,0.16665265,Neutral,0.8237681
